round,vehicles_total,throughput,avg_travel_time,avg_waiting_time,avg_queue_length
0,2983,2798,105.77912794853466,311.05945945945945,185
1,2629,2279,173.07327775340062,930.4142857142857,350
2,2629,2252,177.5892539964476,931.7453580901857,377
3,2632,2286,160.05949256342956,1058.800578034682,346
4,2602,2256,150.53900709219857,1139.0953757225434,346
5,2637,2408,113.71511627906976,1249.5633187772926,229
6,2707,2485,119.24748490945674,787.7027027027027,222
7,2770,2468,161.6936790923825,833.0860927152318,302
8,2983,2808,113.91488603988604,257.8742857142857,175
9,2973,2817,102.96556620518282,416.9166666666667,156
10,2807,2643,107.27922814982973,999.9024390243902,164
11,2983,2895,110.78169257340242,92.9090909090909,88
12,2950,2767,110.22298518250813,436.08196721311475,183
13,2983,2911,99.22157334249398,67.93055555555556,72
14,2983,2888,105.77527700831025,116.3157894736842,95
15,2983,2881,101.06664352655328,133.59803921568627,102
16,2983,2875,105.34539130434783,167.2962962962963,108
17,2983,2914,97.93925875085793,71.95652173913044,69
18,2983,2879,98.95797151788815,153.59615384615384,104
19,2983,2786,152.8086862885858,484.43147208121826,197
20,2983,2890,107.5795847750865,110.84946236559139,93
21,2983,2918,107.32864976010967,83.55384615384615,65
22,2983,2869,97.45207389334263,387.6842105263158,114
23,2983,2902,96.39972432804961,108.39506172839506,81
24,2983,2907,93.0639834881321,89.90789473684211,76
25,2983,2844,108.50632911392405,259.64028776978415,139
26,2816,2655,98.4120527306968,994.6149068322982,161
27,2899,2760,102.1840579710145,387.1294964028777,139
28,2983,2919,85.99349092154847,64.015625,64
29,2983,2922,84.95345653661876,53.91803278688525,61
